analysis_drug_name,model_label,faers_signal_class,final_rf_prob_positive,selection_reason,atom_index,atom_symbol,atom_shap_contribution,abs_atom_shap_contribution,heatmap_svg,heatmap_png
MESALAMINE,0,negative_expanded,0.5634329280443543,high_prob_negative,1,C,-0.002177446510562931,0.002177446510562931,output_interpretation_selected/heatmaps_svg/MESALAMINE__label0__p0.56__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/MESALAMINE__label0__p0.56__high_prob_negative.png
MESALAMINE,0,negative_expanded,0.5634329280443543,high_prob_negative,2,C,0.0031882050252846268,0.0031882050252846268,output_interpretation_selected/heatmaps_svg/MESALAMINE__label0__p0.56__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/MESALAMINE__label0__p0.56__high_prob_negative.png
MESALAMINE,0,negative_expanded,0.5634329280443543,high_prob_negative,3,C,-0.013834391302969748,0.013834391302969748,output_interpretation_selected/heatmaps_svg/MESALAMINE__label0__p0.56__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/MESALAMINE__label0__p0.56__high_prob_negative.png
MESALAMINE,0,negative_expanded,0.5634329280443543,high_prob_negative,4,C,-0.01202410805650408,0.01202410805650408,output_interpretation_selected/heatmaps_svg/MESALAMINE__label0__p0.56__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/MESALAMINE__label0__p0.56__high_prob_negative.png
MESALAMINE,0,negative_expanded,0.5634329280443543,high_prob_negative,5,C,-0.020994529343994088,0.020994529343994088,output_interpretation_selected/heatmaps_svg/MESALAMINE__label0__p0.56__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/MESALAMINE__label0__p0.56__high_prob_negative.png
MESALAMINE,0,negative_expanded,0.5634329280443543,high_prob_negative,6,N,-0.005727202052310976,0.005727202052310976,output_interpretation_selected/heatmaps_svg/MESALAMINE__label0__p0.56__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/MESALAMINE__label0__p0.56__high_prob_negative.png
MESALAMINE,0,negative_expanded,0.5634329280443543,high_prob_negative,7,C,-0.0008659185654069996,0.0008659185654069996,output_interpretation_selected/heatmaps_svg/MESALAMINE__label0__p0.56__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/MESALAMINE__label0__p0.56__high_prob_negative.png
MESALAMINE,0,negative_expanded,0.5634329280443543,high_prob_negative,8,O,0.001430507516420472,0.001430507516420472,output_interpretation_selected/heatmaps_svg/MESALAMINE__label0__p0.56__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/MESALAMINE__label0__p0.56__high_prob_negative.png
MESALAMINE,0,negative_expanded,0.5634329280443543,high_prob_negative,9,O,-0.0027413358599834934,0.0027413358599834934,output_interpretation_selected/heatmaps_svg/MESALAMINE__label0__p0.56__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/MESALAMINE__label0__p0.56__high_prob_negative.png
MESALAMINE,0,negative_expanded,0.5634329280443543,high_prob_negative,10,O,0.007530544570901614,0.007530544570901614,output_interpretation_selected/heatmaps_svg/MESALAMINE__label0__p0.56__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/MESALAMINE__label0__p0.56__high_prob_negative.png
TROFINETIDE,0,negative_expanded,0.4908094365781885,high_prob_negative,0,C,-0.008310661818030824,0.008310661818030824,output_interpretation_selected/heatmaps_svg/TROFINETIDE__label0__p0.49__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/TROFINETIDE__label0__p0.49__high_prob_negative.png
TROFINETIDE,0,negative_expanded,0.4908094365781885,high_prob_negative,1,C,-0.01917490045078064,0.01917490045078064,output_interpretation_selected/heatmaps_svg/TROFINETIDE__label0__p0.49__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/TROFINETIDE__label0__p0.49__high_prob_negative.png
TROFINETIDE,0,negative_expanded,0.4908094365781885,high_prob_negative,2,C,-0.012526140859373577,0.012526140859373577,output_interpretation_selected/heatmaps_svg/TROFINETIDE__label0__p0.49__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/TROFINETIDE__label0__p0.49__high_prob_negative.png
TROFINETIDE,0,negative_expanded,0.4908094365781885,high_prob_negative,3,C,-0.017868219634356874,0.017868219634356874,output_interpretation_selected/heatmaps_svg/TROFINETIDE__label0__p0.49__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/TROFINETIDE__label0__p0.49__high_prob_negative.png
TROFINETIDE,0,negative_expanded,0.4908094365781885,high_prob_negative,4,C,-0.01475747979779753,0.01475747979779753,output_interpretation_selected/heatmaps_svg/TROFINETIDE__label0__p0.49__high_prob_negative.svg,output_interpretation_selected/heatmaps_png/TROFINETIDE__label0__p0.49__high_prob_negative.png
