roc_auc,pr_auc,balanced_accuracy,accuracy,sensitivity,specificity,precision,f1,mcc,brier,tn,fp,fn,tp,threshold,model,fold,split_method,threshold_type,n_train,n_test,n_train_pos,n_test_pos,n_train_scaffolds,n_test_scaffolds
0.7148760330578512,0.6086245969880758,0.6590909090909092,0.5804195804195804,1.0,0.3181818181818183,0.47826086956521746,0.6470588235294118,0.390094748802747,0.3158109302824396,4.0,9.0,0.0,9.0,0.5,logistic_l2,39,StratifiedGroupKFold,fixed_0.5,84,22,50,9,66,20
0.7148760330578512,0.6086245969880758,0.46590909090909094,0.5734265734265733,0.0,0.9318181818181819,0.0,0.0,-0.16544564900208997,0.3158109302824396,12.0,1.0,9.0,0.0,0.9817243433457892,logistic_l2,39,StratifiedGroupKFold,train_youden,84,22,50,9,66,20
0.67420814479638,0.7568671517089368,0.6210407239819005,0.6131386861313869,0.5882352941176471,0.653846153846154,0.735294117647059,0.6535947712418301,0.23495984190138294,0.2302821669082281,5.0,3.0,7.0,8.0,0.5,logistic_l2,40,StratifiedGroupKFold,fixed_0.5,83,23,44,15,66,20
0.67420814479638,0.7568671517089368,0.5,0.3795620437956205,0.0,1.0,0.0,0.0,0.0,0.2302821669082281,8.0,0.0,15.0,0.0,0.9814654778612888,logistic_l2,40,StratifiedGroupKFold,train_youden,83,23,44,15,66,20
0.7878151260504201,0.8200612385109194,0.7163865546218487,0.717391304347826,0.7857142857142857,0.647058823529412,0.6962025316455697,0.738255033557047,0.43734502696550714,0.18177633501693227,6.0,3.0,3.0,9.0,0.5,logistic_l2,41,StratifiedGroupKFold,fixed_0.5,85,21,47,12,67,19
0.7878151260504201,0.8200612385109194,0.5,0.49275362318840576,0.0,1.0,0.0,0.0,0.0,0.18177633501693227,9.0,0.0,12.0,0.0,0.9786414374022613,logistic_l2,41,StratifiedGroupKFold,train_youden,85,21,47,12,67,19
0.6085858585858586,0.659376456857077,0.6022727272727273,0.6220472440944882,0.45454545454545453,0.7500000000000001,0.5813953488372093,0.5102040816326531,0.21417242550471344,0.28013579568607966,7.0,3.0,6.0,4.0,0.5,logistic_l2,42,StratifiedGroupKFold,fixed_0.5,86,20,49,10,67,19
0.6085858585858586,0.659376456857077,0.5,0.5669291338582676,0.0,1.0,0.0,0.0,0.0,0.28013579568607966,10.0,0.0,10.0,0.0,0.9801311882374968,logistic_l2,42,StratifiedGroupKFold,train_youden,86,20,49,10,67,19
0.4613095238095238,0.5828863052774398,0.5952380952380952,0.6506849315068494,0.8333333333333334,0.35714285714285715,0.6756756756756758,0.746268656716418,0.21695039902914265,0.2700105032909432,3.0,6.0,2.0,10.0,0.5,logistic_l2,43,StratifiedGroupKFold,fixed_0.5,85,21,47,12,78,8
0.4613095238095238,0.5828863052774398,0.5,0.38356164383561636,0.0,1.0,0.0,0.0,0.0,0.2700105032909432,9.0,0.0,12.0,0.0,0.9799834385345807,logistic_l2,43,StratifiedGroupKFold,train_youden,85,21,47,12,78,8
0.5319693094629157,0.7496112258604097,0.4961636828644501,0.48854961832061067,0.47058823529411764,0.5217391304347826,0.6451612903225807,0.54421768707483,-0.007335208887185705,0.30699612889565664,4.0,3.0,8.0,7.0,0.5,logistic_l2,44,StratifiedGroupKFold,fixed_0.5,84,22,44,15,66,20
0.5319693094629157,0.7496112258604097,0.5588235294117647,0.4274809160305344,0.11764705882352941,1.0,1.0,0.21052631578947367,0.2114836356501091,0.30699612889565664,7.0,0.0,14.0,1.0,0.9769106005135062,logistic_l2,44,StratifiedGroupKFold,train_youden,84,22,44,15,66,20
0.6909090909090908,0.7015044541870834,0.48863636363636365,0.4444444444444444,0.7272727272727273,0.25000000000000006,0.4000000000000001,0.5161290322580646,-0.025482359571881275,0.35731333561281503,3.0,9.0,3.0,7.0,0.5,logistic_l2,45,StratifiedGroupKFold,fixed_0.5,84,22,49,10,66,20
0.6909090909090908,0.7015044541870834,0.6363636363636364,0.7037037037037037,0.2727272727272727,1.0,1.0,0.42857142857142855,0.4264014327112211,0.35731333561281503,12.0,0.0,8.0,2.0,0.9791423138236703,logistic_l2,45,StratifiedGroupKFold,train_youden,84,22,49,10,66,20
0.6885185185185185,0.739344753083068,0.69,0.7038626609442058,0.88,0.5000000000000001,0.6707317073170732,0.7612456747404844,0.4150534340639937,0.22558905846745422,7.0,9.0,2.0,16.0,0.5,logistic_l2,46,StratifiedGroupKFold,fixed_0.5,72,34,41,18,67,19
0.6885185185185185,0.739344753083068,0.5,0.4635193133047209,0.0,1.0,0.0,0.0,0.0,0.22558905846745422,16.0,0.0,18.0,0.0,0.979647895648452,logistic_l2,46,StratifiedGroupKFold,train_youden,72,34,41,18,67,19
